date,task_text,completed,priority,task_type,goal,sub_category,project,duration_minutes,source,source_date
2026-02-24,"Write the activation_rate ownership contract: numerator, denominator, event grain, owner, source tables events.signup_started and events.activation_completed, 2 quality checks, and one open question",true,P1,project_work,data_owner,data_foundation,Data owner operating system,55,archive_rollover,2026-02-24
2026-02-24,"Create a 6-bullet capacity memo for chat summary inference: demand assumption, bottleneck, queue symptom, user impact, mitigation, and next measurement",true,P2,skill_practice,data_owner,service_platform_eng,AI infrastructure literacy,35,archive_rollover,2026-02-24
2026-02-24,"Build a activation_rate QA checklist: freshness threshold, duplicate guard, null-rate check, segment drift check, owner sign-off, and one failure action",true,P2,skill_practice,data_owner,evaluation_discipline,Evaluation harness,30,archive_rollover,2026-02-24
2026-02-24,"Run a 15-minute Japanese te-form request rep: write 8 sentences, correct 3 misses, and save 2 reusable phrases",true,P3,skill_practice,experience_design,evaluation_discipline,Japanese habit loop,15,archive_rollover,2026-02-24
2026-02-24,"Draft a 120-word learning note from the activation_rate artifact: problem, decision, tradeoff, and one reusable rule",true,P3,writing,data_owner,writing,Public learning notes,25,archive_rollover,2026-02-24
2026-02-25,"Write the trial_to_paid_rate ownership contract: numerator, denominator, event grain, owner, source tables billing.trial_started and billing.subscription_started, 2 quality checks, and one open question",true,P1,project_work,data_owner,data_foundation,Data owner operating system,60,archive_rollover,2026-02-25
2026-02-26,"Write the weekly_active_workspace_rate ownership contract: numerator, denominator, event grain, owner, source tables events.workspace_opened and events.core_action_completed, 2 quality checks, and one open question",true,P1,project_work,data_owner,data_foundation,Data owner operating system,65,archive_rollover,2026-02-26
2026-02-26,"Create a 6-bullet capacity memo for image embedding backfill: demand assumption, bottleneck, queue symptom, user impact, mitigation, and next measurement",true,P2,skill_practice,data_owner,service_platform_eng,AI infrastructure literacy,45,archive_rollover,2026-02-26
2026-02-26,"Map the warehouse picker retry loop: sensor=gripper pressure, bad-reading threshold, actuator response, fail-safe, logged fields, and one review question",true,P2,project_work,experience_design,physical_ai,Robotics systems notebook,40,archive_rollover,2026-02-26
2026-02-27,"Write the gpu_queue_wait_p95 ownership contract: numerator, denominator, event grain, owner, source tables infra.inference_requests and infra.gpu_queue_events, 2 quality checks, and one open question",true,P1,project_work,data_owner,data_foundation,Data owner operating system,70,archive_rollover,2026-02-27
2026-02-27,"Create a 6-bullet capacity memo for image embedding backfill: demand assumption, bottleneck, queue symptom, user impact, mitigation, and next measurement",true,P2,skill_practice,data_owner,service_platform_eng,AI infrastructure literacy,35,archive_rollover,2026-02-27
2026-02-27,"Run a 15-minute Japanese comparison pattern rep: write 8 sentences, correct 3 misses, and save 2 reusable phrases",true,P3,skill_practice,experience_design,evaluation_discipline,Japanese habit loop,15,archive_rollover,2026-02-27
